country,count
Taiwan,1053
Indonesia,400
United States of America,393
India,388
United Kingdom,321
Brazil,232
China,227
Italy,176
Thailand,125
Pakistan,108
Spain,96
Australia,90
South Korea,83
Hong Kong,82
Japan,82
Germany,76
Egypt,73
Canada,72
Malaysia,50
Iran,48
Singapore,46
Philippines,45
Saudi Arabia,42
Netherlands,35
Chile,32
France,32
Turkey,32
Greece,31
Ireland,28
Russia,27
Jordan,21
Qatar,20
United Arab Emirates,20
Mexico,19
Sweden,16
Colombia,13
Ethiopia,13
Switzerland,13
Vietnam,13
Portugal,12
Romania,11
South Africa,11
Argentina,9
Peru,9
Austria,8
Poland,8
Bangladesh,6
Kenya,6
Oman,6
Hungary,5
Israel,5
Libya,5
Uganda,5
Belgium,4
Ghana,4
Iraq,4
Morocco,4
Norway,4
Palestine,4
Albania,3
Bahrain,3
Croatia,3
Georgia,3
Nepal,3
Slovenia,3
Syria,3
Ecuador,2
Finland,2
Macao,2
New Zealand,2
Nigeria,2
Serbia,2
Sudan,2
Uzbekistan,2
Armenia,1
Bulgaria,1
Cyprus,1
Denmark,1
Estonia,1
Kazakhstan,1
Kuwait,1
Lebanon,1
Liberia,1
Mauritius,1
Palau,1
Rwanda,1
Slovakia,1
Sri Lanka,1
Ukraine,1
Yemen,1
